"com.adobe.air"	[[113, 22, 20, 2, 0, 3, 2, -0.5250058961634776], [126, 25, 22, 7, 0, 1, -1, -0.6841338608722016]]
"com.adp.run.mobile"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.affinestudios.coasterfrenzy"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.aguirre.android.mycar.activity"	[[2, 0, 0, 0, 0, 0, 0, 0.5], [2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.aiteam.silenttogglewidget"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.akbur.mathsworkout"	[[66, 11, 11, 2, 0, 1, 2, 0.8537385337748049]]
"com.alt12.pinkpadfree"	[[16, 4, 4, 0, 0, 1, 1, 0.5399525935823081]]
"com.amazon.kindle"	[[18, 4, 4, 1, 0, 0, 1, 0.5031119499982772]]
"com.americanexpress.android.acctsvcs.us"	[[36, 7, 7, 1, 0, 1, -1, 0.554987187936288]]
"com.andbzh.game.truthordare"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.andgame.mrrunner"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.andoop.bugs"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.andrewmcauliffe.mortalKombat2011"	[[134, 25, 23, 1, 0, 3, -1, -0.9327701607444443]]
"com.andrewshu.android.reddit"	[[150, 22, 22, 4, 0, 1, 0, 0.9615070633971948]]
"com.android.bicit"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.android.dopewars"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.android.funtowers"	[[15, 3, 3, 1, 0, 1, 1, 0.6370303620290466]]
"com.android.thewongandonly.QuickDraw"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.androidapps.widget.weather"	[[9, 2, 2, 1, 0, 0, 0, 0.5462962962962964]]
"com.androidcodemonkey.videos.free"	[[93, 18, 16, 2, 0, 1, -1, -0.5458899437941157]]
"com.androidmenue.knifeofdeath"	[[34, 6, 6, 1, 0, 0, -1, 0.6428061702587763]]
"com.androidream.secretdiary.free"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.androuniverse.mspy"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.antonio.home"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.anysoftkeyboard.languagepack.hebrew"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.aol.mobile.dailyFinance"	[[97, 17, 17, 3, 0, 2, 0, 0.5797267908981875]]
"com.aol.mobile.engadget"	[[11, 2, 2, 1, 0, 1, 1, 0.589541547277937], [2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.apostek.apps.pocketbingo"	[[37, 6, 6, 2, 0, 0, -1, -0.8486956193912525]]
"com.apostek.slotmachinevalentine"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.applimobile.spellmeright"	[[39, 7, 7, 1, 0, 0, -1, 0.6980571621612598]]
"com.appmakr.app199551"	[[16, 3, 3, 1, 1, 0, 1, 0.6066483785364455]]
"com.appsilicious.wallpapers"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.appspot.exploreinandroid2010.toddlerworldvol1lite"	[[17, 3, 3, 1, 0, 1, 0, 0.8749999999999998]]
"com.appspot.swisscodemonkeys.apps"	[[129, 28, 26, 6, 0, 1, 0, 0.8289783684518076], [18, 4, 4, 1, 0, 0, 1, 0.5826208774359022]]
"com.appspot.swisscodemonkeys.livechat"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.appspot.swisscodemonkeys.xmas"	[[59, 12, 11, 0, 0, 1, 0, -0.9564106509955633]]
"com.appulearn.cocktails"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.appventions.worldmapfree"	[[46, 8, 7, 1, 0, 2, -1, 0.836611967054406]]
"com.appy.facefighterlite"	[[71, 15, 13, 1, 0, 0, -1, -0.6646703819561967]]
"com.arbstudios.bioballfree"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.arbstudios.tikigolf2free"	[[54, 11, 11, 2, 0, 1, -2, 0.5378891851309708]]
"com.arbstudios.tikigolf3dfree"	[[26, 5, 5, 1, 0, 0, 0, -0.9494262681513159]]
