name,id,category,rating,review,num_5_stars,num_4_stars,num_3_stars,num_2_stars,num_1_stars,screenCount,description,company,moreFromDev,contentRating,price,version,install,totalReviewers,size,similar
Pandora internet radio,com.pandora.android,Music & Audio,4,Updated! Check the screen shots!;  Just unplugged and plugged back in my Chromecast and bam!  There was the streaming symbol!  Way to sneak it in there Pandora!  Original post:   Love the service and the new UI but....  If you look closely at the screen shots you will see...... Wait for it......  The CHROMECAST symbol! Why would you tease us like that Pandora!?  Also for all of you who complain without doing a little research first need to swipe left to find your precious sleep timer! ,176163,52607,24592,781699,58210,8,"Great music discovery is effortless and free with Pandora. Just start with the name of one of your favorite artists, songs, genres or composers and we'll do the rest. It's easy to create personalized stations that play only music you'll love.Tap into an entire world of music, including almost a century of popular recordings - new and old, well known and obscure. Create up to 100 personalized radio stations with your free account. Not sure where to start? Create a free account to explore hundreds of music and comedy genre stations.Already a Pandora listener? Even easier. Just log in and enjoy the same free radio service. Your Pandora is the same across the web, on your phone, on your TV, and in your car - access your free personalized radio wherever you want to hear great music or comedy. Note: Pandora may use large amounts of data and carrier data charges may apply. For best results, we recommend you connect your device to trusted WiFi networks when available.",Pandora,com.pandora.android.gtv,Everyone,0.0,Varies with device,"100,000,000 - 500,000,000",1093271,Varies with device,com.e8tracks;com.fitradio;com.shazam.android;com.slacker.radio;radiotime.player;com.maxxt.pcradio;com.jangomobile.android;com.melodis.midomiMusicIdentifier.freemium;com.stitcher.app;tunein.player;com.clearchannel.iheartradio.controller;com.aupeo.AupeoNextGen;de.radio.android;com.soundcloud.android;com.rhapsody;com.google.android.music
Pandora internet radio,com.pandora.android,Music & Audio,4,"Like Pandora but could be better.;  I Have rated this three stars because, when you create new stations, I want to hear only that genre. Not all kinds of other genres to go with it. Also I cannot find allot of the artist I want. I do not listen a whole lot to secular music being a Christian. So I would really love to be able to find all the Christian artist I like. So what I am saying is, Pandora, please update your genre list to include all Christian artist, not just some. Like Christian Dance music, or DJs, as a prime example. ",176163,52607,24592,781699,58210,8,"Great music discovery is effortless and free with Pandora. Just start with the name of one of your favorite artists, songs, genres or composers and we'll do the rest. It's easy to create personalized stations that play only music you'll love.Tap into an entire world of music, including almost a century of popular recordings - new and old, well known and obscure. Create up to 100 personalized radio stations with your free account. Not sure where to start? Create a free account to explore hundreds of music and comedy genre stations.Already a Pandora listener? Even easier. Just log in and enjoy the same free radio service. Your Pandora is the same across the web, on your phone, on your TV, and in your car - access your free personalized radio wherever you want to hear great music or comedy. Note: Pandora may use large amounts of data and carrier data charges may apply. For best results, we recommend you connect your device to trusted WiFi networks when available.",Pandora,com.pandora.android.gtv,Everyone,0.0,Varies with device,"100,000,000 - 500,000,000",1093271,Varies with device,com.e8tracks;com.fitradio;com.shazam.android;com.slacker.radio;radiotime.player;com.maxxt.pcradio;com.jangomobile.android;com.melodis.midomiMusicIdentifier.freemium;com.stitcher.app;tunein.player;com.clearchannel.iheartradio.controller;com.aupeo.AupeoNextGen;de.radio.android;com.soundcloud.android;com.rhapsody;com.google.android.music
Pandora internet radio,com.pandora.android,Music & Audio,4,"Great song choices, too many ads.;  A few ads every once in a while is perfectly fine, but one or even two ads almost after every other song is too much....I got fed up and discovered one of your competitors, jango. I'll see how it goes with them... ",176163,52607,24592,781699,58210,8,"Great music discovery is effortless and free with Pandora. Just start with the name of one of your favorite artists, songs, genres or composers and we'll do the rest. It's easy to create personalized stations that play only music you'll love.Tap into an entire world of music, including almost a century of popular recordings - new and old, well known and obscure. Create up to 100 personalized radio stations with your free account. Not sure where to start? Create a free account to explore hundreds of music and comedy genre stations.Already a Pandora listener? Even easier. Just log in and enjoy the same free radio service. Your Pandora is the same across the web, on your phone, on your TV, and in your car - access your free personalized radio wherever you want to hear great music or comedy. Note: Pandora may use large amounts of data and carrier data charges may apply. For best results, we recommend you connect your device to trusted WiFi networks when available.",Pandora,com.pandora.android.gtv,Everyone,0.0,Varies with device,"100,000,000 - 500,000,000",1093271,Varies with device,com.e8tracks;com.fitradio;com.shazam.android;com.slacker.radio;radiotime.player;com.maxxt.pcradio;com.jangomobile.android;com.melodis.midomiMusicIdentifier.freemium;com.stitcher.app;tunein.player;com.clearchannel.iheartradio.controller;com.aupeo.AupeoNextGen;de.radio.android;com.soundcloud.android;com.rhapsody;com.google.android.music
Pandora internet radio,com.pandora.android,Music & Audio,4,"Great song choices, too many ads.;  A few ads every once in a while is perfectly fine, but one or even two ads almost after every other song is too much....I got fed up and discovered one of your competitors, jango. I'll see how it goes with them... ",176163,52607,24592,781699,58210,8,"Great music discovery is effortless and free with Pandora. Just start with the name of one of your favorite artists, songs, genres or composers and we'll do the rest. It's easy to create personalized stations that play only music you'll love.Tap into an entire world of music, including almost a century of popular recordings - new and old, well known and obscure. Create up to 100 personalized radio stations with your free account. Not sure where to start? Create a free account to explore hundreds of music and comedy genre stations.Already a Pandora listener? Even easier. Just log in and enjoy the same free radio service. Your Pandora is the same across the web, on your phone, on your TV, and in your car - access your free personalized radio wherever you want to hear great music or comedy. Note: Pandora may use large amounts of data and carrier data charges may apply. For best results, we recommend you connect your device to trusted WiFi networks when available.",Pandora,com.pandora.android.gtv,Everyone,0.0,Varies with device,"100,000,000 - 500,000,000",1093271,Varies with device,com.e8tracks;com.fitradio;com.shazam.android;com.slacker.radio;radiotime.player;com.maxxt.pcradio;com.jangomobile.android;com.melodis.midomiMusicIdentifier.freemium;com.stitcher.app;tunein.player;com.clearchannel.iheartradio.controller;com.aupeo.AupeoNextGen;de.radio.android;com.soundcloud.android;com.rhapsody;com.google.android.music
Instagram,com.instagram.android,Social,4,Can't log in on my phone only;  Always error logging in. It always say my account has been disabled due to violation of terms & services even if not coz i can still log in on other devices. Instagram is not functioning in my phone. PLEASE FIX THIS IMMEDIATELY! ,142561,303040,1154334,74231,4722497,6,"Over 150 million users love Instagram!It's a simple way to capture and share the world's moments on your Android.Customize your photos and videos with one of several gorgeous and custom built filter effects. Transform everyday moments into works of art you'll want to share with friends and family.Share your photos and video in a simple photo stream with friends to see - and follow your friends' photos with the click of a single button. Every day you open up Instagram, you'll see new photos from your closest friends, and creative people from around the world.Features 100% free custom designed filters: XPro-II, Earlybird, Rise, Amaro, Hudson, Lo-fi, Sutro, Toaster, Brannan, Inkwell, Walden, Hefe, Nashville, 1977, and others. Linear and Radial Tilt-Shift blur effects for extra depth of field. Instant sharing to Facebook, Twitter, Flickr, Tumblr and Foursquare Unlimited uploads Interact with friends through giving & receiving likes and comments Works with Android versions 2.2 and above that support OpenGL ES 2 And much much more",Instagram,None,Medium Maturity,0.0,4.2.4,"100,000,000 - 500,000,000",6396663,17M,jp.naver.line.android;com.futurebits.instamessage.free;com.joelapenna.foursquared;com.instachat.android;com.tumblr;com.tagsforlikes.tagsforlikes;com.innovatty.instafollow;com.instarepost;com.path;com.twitter.android;com.facebook.katana;mobi.bcam.mobile;com.justunfollow.android;co.sevens;com.huntherchong.instawidget;kik.android
Instagram,com.instagram.android,Social,4,"Can't take video;  After the last update I thought you were supposed to be able to upload videos, but on my DROID 3 the video function button won't even show up!!!!! Please fix I want to take videos just like everyone else!!!! ",142561,303040,1154334,74231,4722497,6,"Over 150 million users love Instagram!It's a simple way to capture and share the world's moments on your Android.Customize your photos and videos with one of several gorgeous and custom built filter effects. Transform everyday moments into works of art you'll want to share with friends and family.Share your photos and video in a simple photo stream with friends to see - and follow your friends' photos with the click of a single button. Every day you open up Instagram, you'll see new photos from your closest friends, and creative people from around the world.Features 100% free custom designed filters: XPro-II, Earlybird, Rise, Amaro, Hudson, Lo-fi, Sutro, Toaster, Brannan, Inkwell, Walden, Hefe, Nashville, 1977, and others. Linear and Radial Tilt-Shift blur effects for extra depth of field. Instant sharing to Facebook, Twitter, Flickr, Tumblr and Foursquare Unlimited uploads Interact with friends through giving & receiving likes and comments Works with Android versions 2.2 and above that support OpenGL ES 2 And much much more",Instagram,None,Medium Maturity,0.0,4.2.4,"100,000,000 - 500,000,000",6396663,17M,jp.naver.line.android;com.futurebits.instamessage.free;com.joelapenna.foursquared;com.instachat.android;com.tumblr;com.tagsforlikes.tagsforlikes;com.innovatty.instafollow;com.instarepost;com.path;com.twitter.android;com.facebook.katana;mobi.bcam.mobile;com.justunfollow.android;co.sevens;com.huntherchong.instawidget;kik.android
Instagram,com.instagram.android,Social,4,"Can't sign in;  It keeps saying "" an unknown network error has occured"" even though im standing right next to my wifi. Fix this immediately... ",142561,303040,1154334,74231,4722497,6,"Over 150 million users love Instagram!It's a simple way to capture and share the world's moments on your Android.Customize your photos and videos with one of several gorgeous and custom built filter effects. Transform everyday moments into works of art you'll want to share with friends and family.Share your photos and video in a simple photo stream with friends to see - and follow your friends' photos with the click of a single button. Every day you open up Instagram, you'll see new photos from your closest friends, and creative people from around the world.Features 100% free custom designed filters: XPro-II, Earlybird, Rise, Amaro, Hudson, Lo-fi, Sutro, Toaster, Brannan, Inkwell, Walden, Hefe, Nashville, 1977, and others. Linear and Radial Tilt-Shift blur effects for extra depth of field. Instant sharing to Facebook, Twitter, Flickr, Tumblr and Foursquare Unlimited uploads Interact with friends through giving & receiving likes and comments Works with Android versions 2.2 and above that support OpenGL ES 2 And much much more",Instagram,None,Medium Maturity,0.0,4.2.4,"100,000,000 - 500,000,000",6396663,17M,jp.naver.line.android;com.futurebits.instamessage.free;com.joelapenna.foursquared;com.instachat.android;com.tumblr;com.tagsforlikes.tagsforlikes;com.innovatty.instafollow;com.instarepost;com.path;com.twitter.android;com.facebook.katana;mobi.bcam.mobile;com.justunfollow.android;co.sevens;com.huntherchong.instawidget;kik.android
Instagram,com.instagram.android,Social,4,Would of got 5 stars.;  I recently updated this app and now the profile pictures have circles around the picture. I don't like this and once you guys change it back you'll be getting a 5 star rating. *from me. ,142561,303040,1154334,74231,4722497,6,"Over 150 million users love Instagram!It's a simple way to capture and share the world's moments on your Android.Customize your photos and videos with one of several gorgeous and custom built filter effects. Transform everyday moments into works of art you'll want to share with friends and family.Share your photos and video in a simple photo stream with friends to see - and follow your friends' photos with the click of a single button. Every day you open up Instagram, you'll see new photos from your closest friends, and creative people from around the world.Features 100% free custom designed filters: XPro-II, Earlybird, Rise, Amaro, Hudson, Lo-fi, Sutro, Toaster, Brannan, Inkwell, Walden, Hefe, Nashville, 1977, and others. Linear and Radial Tilt-Shift blur effects for extra depth of field. Instant sharing to Facebook, Twitter, Flickr, Tumblr and Foursquare Unlimited uploads Interact with friends through giving & receiving likes and comments Works with Android versions 2.2 and above that support OpenGL ES 2 And much much more",Instagram,None,Medium Maturity,0.0,4.2.4,"100,000,000 - 500,000,000",6396663,17M,jp.naver.line.android;com.futurebits.instamessage.free;com.joelapenna.foursquared;com.instachat.android;com.tumblr;com.tagsforlikes.tagsforlikes;com.innovatty.instafollow;com.instarepost;com.path;com.twitter.android;com.facebook.katana;mobi.bcam.mobile;com.justunfollow.android;co.sevens;com.huntherchong.instawidget;kik.android
Instagram,com.instagram.android,Social,4,"Amazing!;  Love this app! It's become my main social media, I use it more than facebook ",142561,303040,1154334,74231,4722497,6,"Over 150 million users love Instagram!It's a simple way to capture and share the world's moments on your Android.Customize your photos and videos with one of several gorgeous and custom built filter effects. Transform everyday moments into works of art you'll want to share with friends and family.Share your photos and video in a simple photo stream with friends to see - and follow your friends' photos with the click of a single button. Every day you open up Instagram, you'll see new photos from your closest friends, and creative people from around the world.Features 100% free custom designed filters: XPro-II, Earlybird, Rise, Amaro, Hudson, Lo-fi, Sutro, Toaster, Brannan, Inkwell, Walden, Hefe, Nashville, 1977, and others. Linear and Radial Tilt-Shift blur effects for extra depth of field. Instant sharing to Facebook, Twitter, Flickr, Tumblr and Foursquare Unlimited uploads Interact with friends through giving & receiving likes and comments Works with Android versions 2.2 and above that support OpenGL ES 2 And much much more",Instagram,None,Medium Maturity,0.0,4.2.4,"100,000,000 - 500,000,000",6396663,17M,jp.naver.line.android;com.futurebits.instamessage.free;com.joelapenna.foursquared;com.instachat.android;com.tumblr;com.tagsforlikes.tagsforlikes;com.innovatty.instafollow;com.instarepost;com.path;com.twitter.android;com.facebook.katana;mobi.bcam.mobile;com.justunfollow.android;co.sevens;com.huntherchong.instawidget;kik.android
Instagram,com.instagram.android,Social,4,Tags don't work;  When I add my tags to tonight picture the picture doesn't show up in the tags feed.. I don't get likes from other users anymore only my followers ,142561,303040,1154334,74231,4722497,6,"Over 150 million users love Instagram!It's a simple way to capture and share the world's moments on your Android.Customize your photos and videos with one of several gorgeous and custom built filter effects. Transform everyday moments into works of art you'll want to share with friends and family.Share your photos and video in a simple photo stream with friends to see - and follow your friends' photos with the click of a single button. Every day you open up Instagram, you'll see new photos from your closest friends, and creative people from around the world.Features 100% free custom designed filters: XPro-II, Earlybird, Rise, Amaro, Hudson, Lo-fi, Sutro, Toaster, Brannan, Inkwell, Walden, Hefe, Nashville, 1977, and others. Linear and Radial Tilt-Shift blur effects for extra depth of field. Instant sharing to Facebook, Twitter, Flickr, Tumblr and Foursquare Unlimited uploads Interact with friends through giving & receiving likes and comments Works with Android versions 2.2 and above that support OpenGL ES 2 And much much more",Instagram,None,Medium Maturity,0.0,4.2.4,"100,000,000 - 500,000,000",6396663,17M,jp.naver.line.android;com.futurebits.instamessage.free;com.joelapenna.foursquared;com.instachat.android;com.tumblr;com.tagsforlikes.tagsforlikes;com.innovatty.instafollow;com.instarepost;com.path;com.twitter.android;com.facebook.katana;mobi.bcam.mobile;com.justunfollow.android;co.sevens;com.huntherchong.instawidget;kik.android
